"state","year","date_start","date_end","time","deaths","time_unit","source","df","expected",".lower",".upper",".se.fit","excess_deaths","pscore"
"Alabama",2015,"2015-01-04","2015-01-10",1,1139,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-01-11","2015-01-17",2,1140,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-01-18","2015-01-24",3,1043,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-01-25","2015-01-31",4,1076,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-02-01","2015-02-07",5,1110,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-02-08","2015-02-14",6,1070,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-02-15","2015-02-21",7,1068,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-02-22","2015-02-28",8,1103,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-03-01","2015-03-07",9,1207,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-03-08","2015-03-14",10,1104,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-03-15","2015-03-21",11,1004,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-03-22","2015-03-28",12,984,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-03-29","2015-04-04",13,955,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-04-05","2015-04-11",14,975,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-04-12","2015-04-18",15,905,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-04-19","2015-04-25",16,1001,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-04-26","2015-05-02",17,983,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-05-03","2015-05-09",18,920,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
"Alabama",2015,"2015-05-10","2015-05-16",19,924,"weekly","CDC",NA,NA,NA,NA,NA,NA,NA
