region,excess20_21,excess21_22,excess22_23,US,population,rel_excess20_21,rel_excess21_22,rel_excess22_23,vacc,gdp,gdp_ppp
Alabama,14594.646,10166.475,2864.583,1,5050380.000,0.289,0.201,0.057,42.700,48925.526,48925.526
Alaska,806.323,1635.125,1088.679,1,734923.000,0.110,0.222,0.148,50.800,74797.088,74797.088
Arizona,21072.415,14881.300,5568.069,1,7272487.000,0.290,0.205,0.077,51.200,56540.740,56540.740
Arkansas,7722.338,6601.725,2890.048,1,3028443.000,0.255,0.218,0.095,45.800,47729.279,47729.279
California,77367.400,37815.025,25478.025,1,39145060.000,0.198,0.097,0.065,59.100,85748.531,85748.531
Colorado,8352.277,7919.175,3943.421,1,5811596.000,0.144,0.136,0.068,59.500,72603.361,72603.361
Connecticut,6523.200,2475.850,474.850,1,3603691.000,0.181,0.069,0.013,68.900,82276.089,82276.089
District of Columbia,1764.615,714.800,293.969,1,669037.000,0.264,0.107,0.044,60.300,227204.026,227204.026
Delaware,2050.385,1408.125,976.756,1,1004881.000,0.204,0.140,0.097,57.900,80326.128,80326.128
Florida,40727.308,40712.300,11304.885,1,21830708.000,0.187,0.186,0.052,57.400,56173.052,56173.052
Georgia,24550.969,19266.150,6946.412,1,10790385.000,0.228,0.179,0.064,45.700,63325.090,63325.090
Hawaii,92.154,1240.925,905.617,1,1446745.000,0.006,0.086,0.063,58.100,62249.671,62249.671
Idaho,2194.385,3545.175,1135.006,1,1904537.000,0.115,0.186,0.060,41.800,49522.167,49522.167
Illinois,25234.277,13864.025,4564.271,1,12690341.000,0.199,0.109,0.036,53.600,73941.851,73941.851
Indiana,13813.169,11165.100,2501.762,1,6813798.000,0.203,0.164,0.037,48.500,61689.413,61689.413
Iowa,4430.492,3604.325,951.140,1,3197944.000,0.139,0.113,0.030,54.100,68744.700,68744.700
Kansas,5018.123,4671.325,1886.879,1,2937946.000,0.171,0.159,0.064,51.300,65455.117,65455.117
Kentucky,9090.077,10091.650,4023.296,1,4507600.000,0.202,0.224,0.089,52.700,52022.850,52022.850
Louisiana,13315.785,8250.300,1674.131,1,4627047.000,0.288,0.178,0.036,45.600,55177.006,55177.006
Maine,1037.738,2256.650,1636.173,1,1378787.000,0.075,0.164,0.119,68.700,55162.400,55162.400
Maryland,10692.985,4065.325,-538.044,1,6175045.000,0.173,0.066,-0.009,64.300,70968.697,70968.697
Massachusetts,9379.077,3720.250,1369.496,1,6991951.000,0.134,0.053,0.020,68.000,91035.292,91035.292
Michigan,20704.569,14748.000,3320.462,1,10038117.000,0.206,0.147,0.033,52.500,56625.481,56625.481
Minnesota,6245.523,5564.850,2251.404,1,5717968.000,0.109,0.097,0.039,58.300,72053.709,72053.709
Mississippi,10068.569,6798.600,1728.462,1,2949582.000,0.341,0.230,0.059,43.600,42416.180,42416.180
Missouri,12085.723,9645.700,2329.854,1,6170393.000,0.196,0.156,0.038,48.000,58335.344,58335.344
Montana,1884.031,2508.625,862.563,1,1106366.000,0.170,0.227,0.078,48.600,53601.430,53601.430
Nebraska,2531.523,2208.150,956.504,1,1964253.000,0.129,0.112,0.049,54.700,76562.286,76562.286
Nevada,6317.754,6041.275,2137.967,1,3146632.000,0.201,0.192,0.068,50.800,61323.917,61323.917
New Hampshire,993.246,1309.300,1144.608,1,1387494.000,0.072,0.094,0.082,61.600,70805.207,70805.207
New Jersey,23714.031,5488.175,-1239.287,1,9269175.000,0.256,0.059,-0.013,64.400,72508.006,72508.006
New Mexico,5379.754,4677.025,1614.917,1,2116950.000,0.254,0.221,0.076,63.400,51455.160,51455.160
New York,57422.262,16276.475,7904.152,1,19854526.000,0.289,0.082,0.040,63.900,93375.480,93375.480
North Carolina,18890.938,16612.375,7235.698,1,10567100.000,0.179,0.157,0.068,50.000,61983.486,61983.486
North Dakota,1310.985,840.175,-189.594,1,777982.000,0.169,0.108,-0.024,44.400,81475.921,81475.921
Ohio,21595.400,20357.675,252.075,1,11765227.000,0.184,0.173,0.002,50.300,62595.460,62595.460
Oklahoma,8616.646,8372.000,2528.508,1,3991634.000,0.216,0.210,0.063,47.800,51795.956,51795.956
Oregon,4761.677,7236.075,5944.921,1,4256465.000,0.112,0.170,0.140,60.900,62714.741,62714.741
Pennsylvania,26381.385,17827.000,3686.431,1,13013614.000,0.203,0.137,0.028,58.000,64504.487,64504.487
Rhode Island,1868.846,834.825,58.133,1,1097092.000,0.170,0.076,0.005,68.400,60103.619,60103.619
South Carolina,13860.692,10147.050,4370.665,1,5193848.000,0.267,0.195,0.084,47.400,51999.789,51999.789
South Dakota,1866.277,1094.575,99.821,1,896299.000,0.208,0.122,0.011,51.800,68286.922,68286.922
Tennessee,16105.108,15047.850,3618.435,1,6963709.000,0.231,0.216,0.052,45.600,60067.731,60067.731
Texas,66290.154,45883.750,14748.242,1,29561286.000,0.224,0.155,0.050,51.300,67159.409,67159.409
Utah,2983.862,3498.425,1581.102,1,3339284.000,0.089,0.105,0.047,50.900,65984.804,65984.804
Vermont,714.554,1018.750,1135.842,1,647093.000,0.110,0.157,0.176,69.600,55896.293,55896.293
Virginia,13534.246,11529.325,5613.833,1,8657348.000,0.156,0.133,0.065,60.700,68364.007,68364.007
Washington,5899.738,8805.850,7227.973,1,7741433.000,0.076,0.114,0.093,61.000,86234.267,86234.267
West Virginia,4028.031,5215.025,1995.963,1,1785249.000,0.226,0.292,0.112,40.500,48953.675,48953.675
Wisconsin,7547.077,7038.000,1492.446,1,5879978.000,0.128,0.120,0.025,56.600,62233.447,62233.447
Wyoming,836.554,1090.050,341.942,1,579548.000,0.144,0.188,0.059,41.600,71818.728,71818.728
Albania,11028.200,5476.300,-1207.900,0,2854710.000,0.386,0.192,-0.042,28.340,6377.203,15471.056
